Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1879.0709743745108
FDW14,OUT017,1575.116262470791
NCN55,OUT010,1808.2325736434643
FDQ58,OUT017,2530.718466355376
FDY38,OUT027,5085.192422711613
FDH56,OUT046,1950.0752816014992
FDL48,OUT018,675.148063147354
FDC48,OUT027,2800.353043922626
FDN33,OUT045,1520.2993878146883
FDA36,OUT017,3046.38568199779
FDT44,OUT017,1984.611029428297
FDQ56,OUT045,1353.6616971849946
NCC54,OUT019,1812.181014655023
FDU11,OUT049,2085.2991473239617
DRL59,OUT013,957.8718779817797
FDM24,OUT049,2544.3381568669192
FDI57,OUT045,3026.002370083579
DRC12,OUT018,2702.9560321813196
NCM42,OUT027,3189.3442661464687
FDA46,OUT010,1103.7795713619194
FDA31,OUT013,2778.794714653365
NCJ31,OUT035,3801.931559614869
FDG52,OUT046,842.1558903212707
NCL19,OUT019,361.7132398524052
FDS10,OUT035,2988.8588924235046
FDX22,OUT010,1444.2287495793005
NCF19,OUT035,1005.492717413075
NCE06,OUT046,2528.6727128847833
DRC27,OUT046,3776.0498169256034
FDE21,OUT035,2059.9552537310756
NCR42,OUT019,-1248.4365608165924
FDX51,OUT018,2833.2136894710566
NCR06,OUT018,486.51734715647297
FDU31,OUT027,4878.460707801961
FDU59,OUT017,2663.9932877341107
FDR03,OUT027,4651.112944025975
FDS49,OUT027,2773.885766228688
FDD48,OUT010,-41.85061808468015
NCF18,OUT017,3092.821997502041
NCD43,OUT027,3118.326527231775
NCD54,OUT018,2003.3128170665068
FDY19,OUT010,-5.521913315435427
NCY54,OUT017,2781.609388107111
NCL19,OUT018,2024.1020652347197
FDP23,OUT010,1515.2629811607665
FDC26,OUT013,1844.9673933949118
FDR14,OUT010,-932.2566242914554
NCS41,OUT035,3007.4599586800787
FDF41,OUT035,3981.6317181837776
FDU34,OUT046,1983.771327658821
DRH11,OUT046,991.129164608439
FDM03,OUT013,1721.4264334450775
FDS31,OUT017,2949.9248169087678
FDJ20,OUT017,2125.6753414485866
FDV44,OUT027,4404.4809675251945
FDG02,OUT049,3075.4769340584817
FDA09,OUT013,2890.1602246729144
FDT04,OUT013,750.6881742642917
FDL58,OUT019,2228.742496562202
FDE52,OUT045,1455.6983350451985
FDW12,OUT035,2514.8947445544936
FDL51,OUT017,3495.43792449006
NCY42,OUT027,3663.825357417749
FDR07,OUT017,1713.0788178769326
FDN40,OUT045,2327.637808717713
FDB35,OUT027,2982.6180639891145
FDA22,OUT017,2711.9533091249914
NCL06,OUT046,4016.0578712966653
FDI35,OUT013,2867.151547885841
NCW42,OUT045,3375.4677838248035
NCX06,OUT049,2933.4919177658703
FDC37,OUT027,3214.74770556193
FDZ14,OUT018,1754.0805876127733
DRG49,OUT049,3887.824983540091
NCG06,OUT045,3853.6644844855427
DRC36,OUT045,2711.538940520726
FDV21,OUT019,99.15140065487537
FDB53,OUT046,2342.5460596775756
DRP47,OUT019,1977.3433370387386
FDA14,OUT013,2351.049612537613
DRC24,OUT035,2554.2700989252016
FDW21,OUT018,1412.7933460153524
NCH29,OUT046,1577.8951635823812
FDU58,OUT013,3039.866049085038
FDY27,OUT017,2872.8504959734064
FDV56,OUT035,1971.6366373758008
FDT59,OUT046,3603.4363247983247
FDB23,OUT046,3572.1707409842456
FDR49,OUT045,764.902653573569
FDB03,OUT010,1877.4196594286238
FDN39,OUT045,2659.5650565679725
FDX02,OUT027,4871.716085132258
FDQ16,OUT027,3192.243782706293
FDU35,OUT018,1354.915834805865
NCT29,OUT013,1983.903740957548
FDZ27,OUT046,854.5494755833622
FDN57,OUT017,2348.646056569016
FDA03,OUT018,2097.512355634611
FDZ36,OUT045,2908.3881518705566
NCU05,OUT013,1373.001294312567
FDT39,OUT018,2204.390969745472
FDK60,OUT017,1708.638191174486
FDZ25,OUT017,2793.237654672059
FDG12,OUT046,1979.9300555396003
DRB01,OUT019,1072.9163591541592
NCC43,OUT027,5262.874329459735
FDX13,OUT019,1983.3244725101806
FDM22,OUT049,1114.9358423914432
FDJ03,OUT027,2348.24707940621
FDU14,OUT018,3615.0514488129875
FDB33,OUT010,668.5586550754282
FDP27,OUT046,2984.9479006377815
FDO38,OUT010,-610.5399574322913
FDE28,OUT027,5061.504401344105
FDO27,OUT035,1746.9517528481783
DRL23,OUT027,3162.799997296531
