Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1652.5914281840282
FDW14,OUT017,1365.0096308058387
NCN55,OUT010,575.4544730448968
FDQ58,OUT017,2485.26047605064
FDY38,OUT027,5846.665021576381
FDH56,OUT046,1927.4711894734223
FDL48,OUT018,759.8010863348616
FDC48,OUT027,2179.3842247611833
FDN33,OUT045,1516.3739453996875
FDA36,OUT017,3088.6975109663804
FDT44,OUT017,1927.3548835912839
FDQ56,OUT045,1362.426789534781
NCC54,OUT019,574.5315753846008
FDU11,OUT049,2020.1328110712248
DRL59,OUT013,867.0030643281153
FDM24,OUT049,2470.085522132356
FDI57,OUT045,3041.6025697657356
DRC12,OUT018,2947.6680677753625
NCM42,OUT027,2915.847046611799
FDA46,OUT010,502.7048599348256
FDA31,OUT013,2832.252107816885
NCJ31,OUT035,3902.038299846702
FDG52,OUT046,779.9192523760444
NCL19,OUT019,288.64913402602343
FDS10,OUT035,2973.440758028916
FDX22,OUT010,566.1875457035761
NCF19,OUT035,756.5148912935845
NCE06,OUT046,2560.3829998753404
DRC27,OUT046,3904.0552222784863
FDE21,OUT035,1944.0315141861115
NCR42,OUT019,131.56599363699928
FDX51,OUT018,2973.503236148288
NCR06,OUT018,614.2812751993279
FDU31,OUT027,5846.665021576381
FDU59,OUT017,2554.08891638201
FDR03,OUT027,5844.737402634757
FDS49,OUT027,2026.6966165175418
FDD48,OUT010,266.96832910424405
NCF18,OUT017,3018.0086094764533
NCD43,OUT027,2841.727012477624
NCD54,OUT018,2115.372748827116
FDY19,OUT010,267.7855793629316
NCY54,OUT017,2848.821656410876
NCL19,OUT018,2428.59762127228
FDP23,OUT010,571.760605951195
FDC26,OUT013,1740.0336562588668
FDR14,OUT010,131.76651981044265
NCS41,OUT035,3097.015077046989
FDF41,OUT035,3896.6914320953642
FDU34,OUT046,2047.0129810265032
DRH11,OUT046,964.5849027076421
FDM03,OUT013,1659.7133552703597
FDS31,OUT017,3064.340961435987
FDJ20,OUT017,2003.5079611721026
FDV44,OUT027,5156.716023153799
FDG02,OUT049,3099.874354213975
FDA09,OUT013,2972.910945838332
FDT04,OUT013,710.2464954517656
FDL58,OUT019,572.755368880837
FDE52,OUT045,1382.0267402386023
FDW12,OUT035,2479.6969561315277
FDL51,OUT017,3692.8282789326063
NCY42,OUT027,3047.613805107897
FDR07,OUT017,1536.7561849881856
FDN40,OUT045,2485.9209525173646
FDB35,OUT027,2687.361333794556
FDA22,OUT017,2548.695259368087
NCL06,OUT046,4146.032941067037
FDI35,OUT013,3052.543355358687
NCW42,OUT045,3734.5990230308935
NCX06,OUT049,3024.324426632561
FDC37,OUT027,2874.247454724574
FDZ14,OUT018,1951.3452685488824
DRG49,OUT049,3891.3302085418
NCG06,OUT045,4137.8948947292265
DRC36,OUT045,2903.8972824926777
FDV21,OUT019,279.3488676007171
FDB53,OUT046,2508.156676614518
DRP47,OUT019,572.8130194119378
FDA14,OUT013,2453.61727530175
DRC24,OUT035,2535.1653567641806
FDW21,OUT018,1617.8327461953993
NCH29,OUT046,1543.838739328664
FDU58,OUT013,3075.591219210266
FDY27,OUT017,2891.2403650225788
FDV56,OUT035,1668.9928063482675
FDT59,OUT046,3809.5274520335706
FDB23,OUT046,3756.5543793031934
FDR49,OUT045,754.0576600135666
FDB03,OUT010,574.9555545735491
FDN39,OUT045,2619.1876979220306
FDX02,OUT027,5846.665021576381
FDQ16,OUT027,2872.5830625225262
FDU35,OUT018,1550.2730929751554
NCT29,OUT013,2018.0681421816762
FDZ27,OUT046,780.7663269168662
FDN57,OUT017,2046.2997817361593
FDA03,OUT018,2424.024389921984
FDZ36,OUT045,3155.5454052949167
NCU05,OUT013,1402.6332739411941
FDT39,OUT018,2382.897741500793
FDK60,OUT017,1536.507371930109
FDZ25,OUT017,2788.9686865478056
FDG12,OUT046,2075.917979234132
DRB01,OUT019,499.2743648604734
NCC43,OUT027,5846.665021576381
FDX13,OUT019,571.3366267622466
FDM22,OUT049,865.7225920353668
FDJ03,OUT027,1075.9422795022288
FDU14,OUT018,3748.151819644213
FDB33,OUT010,383.3373894029695
FDP27,OUT046,3153.7904176521965
FDO38,OUT010,161.02656209990363
FDE28,OUT027,5846.665021576381
FDO27,OUT035,1518.0519285319501
DRL23,OUT027,2862.3896975752405
FDS28,OUT046,963.1707805895276
FDX24,OUT013,1468.1530066266337
FDZ02,OUT035,1535.2359619459137
FDL46,OUT045,1905.135612945336
FDS60,OUT027,4791.427717742036
NCO06,OUT017,592.0194328804655
FDO16,OUT035,1354.534216100187
FDC60,OUT049,1364.9856002315792
FDA48,OUT018,3420.1925412873175
FDZ36,OUT027,5149.534144033575
FDK27,OUT045,2041.7749666691784
FDW23,OUT018,607.1094007303172
FDM14,OUT018,1693.8029465034435
FDM14,OUT013,1662.9088042839667
FDW60,OUT018,2825.0994640866793
FDE21,OUT013,1956.976776382336
NCM42,OUT035,1670.7592166679453
FDY59,OUT010,229.05436836935726
DRI49,OUT049,1309.5730127085671
FDT28,OUT019,364.4371939192292
FDQ22,OUT018,606.1642565013365
FDR60,OUT049,1264.5741159766762
FDC50,OUT019,236.7666076884555
FDV24,OUT013,2424.2928909616144
DRF48,OUT010,485.47052346136
FDQ47,OUT046,636.454906977924
DRN36,OUT049,1536.7097919010112
NCY06,OUT035,2025.1603291264794
FDE52,OUT035,1381.2466486538624
NCB54,OUT045,2017.3565668382732
NCF31,OUT035,2497.3987785544623
FDJ08,OUT027,5174.155470507717
NCC07,OUT017,1653.7288893110872
NCD19,OUT027,1257.9414675491382
FDL46,OUT049,1962.119331352826
FDM20,OUT045,3943.9683383967554
NCI06,OUT010,447.56408409732336
DRM11,OUT035,4133.128412284493
NCH07,OUT018,2472.9018845286123
FDS23,OUT013,2041.2168132887662
FDO49,OUT018,758.5666695647985
FDS35,OUT049,1063.4569087642185
DRK39,OUT045,1338.07490468718
DRI39,OUT049,903.3095150633251
FDV04,OUT017,2522.4308885015
NCN14,OUT035,3083.7375801526646
FDH08,OUT013,3770.361176194484
FDS20,OUT046,3130.508514356296
FDV40,OUT049,1134.9497314560958
FDZ48,OUT010,258.3801239023709
FDS24,OUT027,2549.4130228279155
FDK44,OUT049,2844.1276696839554
FDS48,OUT045,2510.573948659663
FDK26,OUT010,487.829984793408
FDD23,OUT045,3095.6640717315854
NCH54,OUT017,2595.266685263667
NCP14,OUT010,244.26151148527683
FDM60,OUT010,131.56599363699928
FDV24,OUT017,2467.7878748494973
FDH08,OUT018,3549.576037538231
FDS12,OUT027,3012.6644864532527
FDR39,OUT027,4840.975768047494
FDP12,OUT027,1006.6760821186693
DRF60,OUT027,5846.665021576381
FDC09,OUT035,1650.8243447245832
FDF50,OUT018,3012.042602824712
FDG28,OUT035,4010.3887062983863
NCE19,OUT017,873.8036646212723
NCM53,OUT010,252.62813842451644
NCN18,OUT049,1724.0703418742844
FDF32,OUT035,3106.92973520212
FDF11,OUT013,3927.0218999224953
DRI59,OUT049,3760.9537913045124
NCG54,OUT035,2787.8089427499403
FDM44,OUT046,1643.750927489548
FDT57,OUT018,3621.59712248908
FDV24,OUT046,2474.500207843362
FDI50,OUT019,573.2565431849579
FDS09,OUT035,766.7703711274905
NCC31,OUT027,4057.337039767177
FDQ07,OUT019,574.7329358346491
FDC22,OUT017,3142.5340148547866
FDZ56,OUT046,2797.583230682058
FDZ40,OUT019,131.56599363699928
FDS46,OUT027,2956.1650746798286
DRD24,OUT045,2066.1826079701036
FDV45,OUT017,3059.028140685801
FDL26,OUT045,2528.1830715793594
FDA56,OUT018,1993.7668082218236
FDN27,OUT046,1955.6955995130836
FDM20,OUT049,3901.1648334762012
FDO16,OUT017,1337.2665437866203
FDL03,OUT035,2983.6812202631436
FDE58,OUT046,1937.7757652650637
FDI02,OUT027,2931.545282165173
NCC55,OUT019,131.56599363699928
FDR03,OUT018,3226.7290263314812
FDB14,OUT017,1446.171899318342
FDR45,OUT013,3938.8076672304805
NCN07,OUT017,2041.8934468273958
FDM51,OUT019,248.91264733344727
FDT52,OUT027,5846.665021576381
FDL26,OUT046,2516.802709930491
NCZ42,OUT046,3943.060504049942
DRI47,OUT019,366.29645446673914
FDW40,OUT013,2078.1715098821232
FDN34,OUT046,2798.721750299522
FDS01,OUT035,2973.7278313074257
NCG55,OUT045,1914.5887766804183
FDC11,OUT035,1358.949626143612
FDX35,OUT018,3502.7690388747988
NCB06,OUT046,2580.531402097977
FDR09,OUT019,572.8130194119378
FDC53,OUT017,1538.6125035027467
FDY45,OUT013,4056.2452711474457
FDA22,OUT010,386.58681324283555
FDE02,OUT035,1516.8196163872408
FDW21,OUT045,1634.221401509776
FDV34,OUT046,1172.788295114396
FDS59,OUT049,1665.8972947391799
NCW17,OUT017,2068.1269221479497
